,t,heatflux
0,0.0,10.913600467145443
1,5.219842377254813e-05,18.336447569541633
2,0.00010439684754509626,6.819336746819317
3,0.0001565952713176444,22.76158831268549
4,0.00020879369509019252,20.45333828870207
5,0.00026099211886274065,23.946752928197384
6,0.000313190542635261,23.848930151201785
7,0.00036538896640780916,0.0
8,0.0004175873901803573,27.759857182390988
9,0.0004697858139529054,13.884211949072778
10,0.0005219842377254535,325562.7880519312
11,0.0005741826614980017,6950023.458152639
12,0.000626381085270522,9735262.203750633
13,0.0006785795090430702,10947185.872120673
14,0.0007307779328156183,10844955.706072526
15,0.0007829763565881664,10497177.372358693
16,0.0008351747803607146,11359975.9378478
17,0.0008873732041332627,12244580.980617907
18,0.0009395716279058108,12193802.75902586
19,0.0009917700516783312,12710456.872968748
20,0.0010439684754508793,8451312.32932297
21,0.0010961668992234275,5252983.722034663
22,0.0011483653229959756,5103123.268271524
23,0.0012005637467685237,4715697.166419838
24,0.0012527621705410719,4325401.557701008
25,0.0013049605943135922,3630479.454586655
26,0.0013571590180861404,2947091.600133568
27,0.0014093574418586885,2915850.7377149826
28,0.0014615558656312366,3690983.0229111146
29,0.0015137542894037848,2914394.3645405974
30,0.0015659527131763329,2424224.784762008
31,0.001618151136948881,2344627.200946169
32,0.0016703495607214014,2351348.1667747693
33,0.0017225479844939495,2406888.050304925
34,0.0017747464082664977,2488681.2926211506
35,0.0018269448320390458,1969087.065439335
36,0.001879143255811594,1733318.593526179
37,0.001931341679584142,1778046.6734003536
38,0.00198354010335669,1877604.3834746191
39,0.0020357385271292106,1806928.9379920112
40,0.0020879369509017587,1674662.9786932282
41,0.002140135374674307,1462896.2459902037
42,0.002192333798446855,1328981.4666159926
43,0.002244532222219403,1358547.1058650473
44,0.002296730645991951,1405521.1670265272
45,0.0023489290697644716,1346691.3637076216
46,0.0024011274935370197,1212541.16878107
47,0.002453325917309568,1099713.248155768
48,0.002505524341082116,1038681.0964559279
49,0.002557722764854664,1038467.8550325381
50,0.0026099211886272122,1057351.3726726435
51,0.0026621196123997604,1025257.8069981113
52,0.0027143180361722807,940751.5705689508
53,0.002766516459944829,860950.0820724834
54,0.002818714883717377,824395.6824542955
55,0.002870913307489925,821271.8689537114
56,0.0029231117312624733,825999.8823452834
57,0.0029753101550350214,811244.0068955272
58,0.0030275085788075418,765930.2218939224
59,0.00307970700258009,710915.026269773
60,0.003131905426352638,675834.7951234626
61,0.003184103850125186,667462.8080346277
62,0.0032363022738977343,670366.0715551367
63,0.0032885006976702824,664847.1272215089
64,0.0033406991214428305,642391.1707602711
65,0.003392897545215351,608820.6215108819
66,0.003445095968987899,578780.7899512574
67,0.003497294392760447,563647.6686602933
68,0.0035494928165329953,562386.1357445437
69,0.0036016912403055434,563308.3562425179
70,0.0036538896640780916,555978.4092724267
71,0.0037060880878506397,538703.337522259
72,0.00375828651162316,518084.8743011188
73,0.003810484935395708,502230.86552060116
74,0.0038626833591682563,493746.4694390092
75,0.0039148817829408045,492751.01363484655
76,0.003967080206713353,492732.7898445539
77,0.004019278630485901,487565.4694144139
78,0.004071477054258421,476724.1942428332
79,0.004123675478030969,463907.5849149097
80,0.004175873901803517,453978.54284708854
81,0.0042280723255760655,449987.1628423529
82,0.004280270749348614,448859.49987613223
83,0.004332469173121162,446805.74891624507
84,0.00438466759689371,441428.89661818463
85,0.00443686602066623,432421.29358598124
86,0.004489064444438778,421855.2439789111
87,0.0045412628682113265,411993.2962142527
88,0.004593461291983875,404093.396649763
89,0.004645659715756423,397567.6065578023
90,0.004697858139528971,390275.9517765809
91,0.004750056563301491,380603.2408683235
92,0.004802254987074039,368555.1188012855
93,0.0048544534108465875,355656.78690116014
94,0.004906651834619136,344443.9355798494
95,0.004958850258391684,336902.8053886704
96,0.005011048682164232,332572.79692278523
97,0.00506324710593678,329021.19679132104
98,0.0051154455297093004,324030.1576547446
99,0.005167643953481849,316739.90761405975
100,0.005219842377254397,307367.7259282451
