,name,R,Z,coil_pair
2,d2_lower,0.5277502,-1.72295,d2
2,d2_lower,0.52775025,-1.73765,d2
2,d2_lower,0.52775025,-1.75235,d2
2,d2_lower,0.5718501,-1.76705,d2
2,d2_lower,0.5571501,-1.76705,d2
2,d2_lower,0.5424501,-1.76705,d2
2,d2_lower,0.52774996,-1.76705,d2
3,d2_upper,0.6012501,1.75705,d2
3,d2_upper,0.58655024,1.75705,d2
3,d2_upper,0.6012502,1.74235,d2
3,d2_upper,0.6012502,1.72765,d2
3,d2_upper,0.60125023,1.71295,d2
3,d2_upper,0.58655,1.71295,d2
3,d2_upper,0.58655,1.72765,d2
3,d2_upper,0.5718501,1.74235,d2
3,d2_upper,0.57185036,1.72765,d2
3,d2_upper,0.5718504,1.71295,d2
3,d2_upper,0.55715007,1.71295,d2
3,d2_upper,0.55715007,1.72765,d2
3,d2_upper,0.55715,1.74235,d2
3,d2_upper,0.5424502,1.74235,d2
3,d2_upper,0.5424502,1.72765,d2
3,d2_upper,0.54245,1.71295,d2
3,d2_upper,0.5277502,1.71295,d2
3,d2_upper,0.52775025,1.72765,d2
3,d2_upper,0.52775025,1.74235,d2
3,d2_upper,0.5718501,1.75705,d2
3,d2_upper,0.5571501,1.75705,d2
3,d2_upper,0.5424501,1.75705,d2
3,d2_upper,0.52774996,1.75705,d2
4,d3_lower,0.82855,-2.01205,d3
4,d3_lower,0.8432501,-2.01205,d3
4,d3_lower,0.84325004,-1.99735,d3
4,d3_lower,0.84325004,-1.9826499,d3
4,d3_lower,0.8285502,-1.96795,d3
4,d3_lower,0.82855004,-1.9826499,d3
4,d3_lower,0.8285504,-1.99735,d3
4,d3_lower,0.81385,-1.99735,d3
4,d3_lower,0.8138502,-1.9826499,d3
4,d3_lower,0.81385005,-1.96795,d3
4,d3_lower,0.7991501,-1.96795,d3
4,d3_lower,0.79915005,-1.9826499,d3
4,d3_lower,0.79915005,-1.99735,d3
4,d3_lower,0.78445005,-1.99735,d3
4,d3_lower,0.78444934,-1.9826499,d3
4,d3_lower,0.78445005,-1.96795,d3
4,d3_lower,0.7697501,-1.96795,d3
4,d3_lower,0.7697502,-1.9826499,d3
4,d3_lower,0.7697502,-1.99735,d3
4,d3_lower,0.76975006,-2.01205,d3
4,d3_lower,0.78445035,-2.01205,d3
4,d3_lower,0.7991504,-2.01205,d3
4,d3_lower,0.81384987,-2.01205,d3
5,d3_upper,0.82855,2.00405,d3
5,d3_upper,0.8432501,2.00405,d3
5,d3_upper,0.84325004,1.9893501,d3
5,d3_upper,0.84325004,1.97465,d3
5,d3_upper,0.8285502,1.9599501,d3
5,d3_upper,0.82855004,1.97465,d3
5,d3_upper,0.8285504,1.9893501,d3
5,d3_upper,0.81385,1.9893501,d3
5,d3_upper,0.8138502,1.97465,d3
5,d3_upper,0.81385005,1.9599501,d3
5,d3_upper,0.7991501,1.9599501,d3
5,d3_upper,0.79915005,1.97465,d3
5,d3_upper,0.79915005,1.9893501,d3
5,d3_upper,0.78445005,1.9893501,d3
5,d3_upper,0.78444934,1.97465,d3
5,d3_upper,0.78445005,1.9599501,d3
5,d3_upper,0.7697501,1.9599501,d3
5,d3_upper,0.7697502,1.97465,d3
5,d3_upper,0.7697502,1.9893501,d3
5,d3_upper,0.76975006,2.00405,d3
5,d3_upper,0.78445035,2.00405,d3
5,d3_upper,0.7991504,2.00405,d3
5,d3_upper,0.81384987,2.00405,d3
6,d5_lower,1.9073501,-1.9941,d5
6,d5_lower,1.9220505,-1.9941,d5
6,d5_lower,1.92205,-1.9794,d5
6,d5_lower,1.92205,-1.9647,d5
6,d5_lower,1.92205,-1.95,d5
6,d5_lower,1.92205,-1.9353,d5
6,d5_lower,1.92205,-1.9206,d5
6,d5_lower,1.9073502,-1.9059,d5
6,d5_lower,1.9073503,-1.9206,d5
6,d5_lower,1.9073503,-1.9353,d5
6,d5_lower,1.9073503,-1.95,d5
6,d5_lower,1.9073503,-1.9647,d5
6,d5_lower,1.9073501,-1.9794,d5
6,d5_lower,1.89265,-1.9794,d5
6,d5_lower,1.8926501,-1.9647,d5
6,d5_lower,1.8926501,-1.95,d5
6,d5_lower,1.8926501,-1.9353,d5
6,d5_lower,1.8926501,-1.9206,d5
6,d5_lower,1.89265,-1.9059,d5
6,d5_lower,1.87795,-1.9059,d5
6,d5_lower,1.8779502,-1.9206,d5
6,d5_lower,1.8779502,-1.9353,d5
6,d5_lower,1.8779502,-1.95,d5
6,d5_lower,1.8779502,-1.9647,d5
6,d5_lower,1.8779502,-1.9794,d5
6,d5_lower,1.8779502,-1.9941,d5
6,d5_lower,1.8926504,-1.9941,d5
7,d5_upper,1.9073501,1.9941,d5
7,d5_upper,1.9220505,1.9941,d5
7,d5_upper,1.92205,1.9794,d5
7,d5_upper,1.92205,1.9647,d5
7,d5_upper,1.92205,1.95,d5
7,d5_upper,1.92205,1.9353,d5
7,d5_upper,1.92205,1.9206,d5
7,d5_upper,1.9073502,1.9059,d5
7,d5_upper,1.9073503,1.9206,d5
7,d5_upper,1.9073503,1.9353,d5
7,d5_upper,1.9073503,1.95,d5
7,d5_upper,1.9073503,1.9647,d5
7,d5_upper,1.9073501,1.9794,d5
7,d5_upper,1.89265,1.9794,d5
7,d5_upper,1.8926501,1.9647,d5
7,d5_upper,1.8926501,1.95,d5
7,d5_upper,1.8926501,1.9353,d5
7,d5_upper,1.8926501,1.9206,d5
7,d5_upper,1.89265,1.9059,d5
7,d5_upper,1.87795,1.9059,d5
7,d5_upper,1.8779502,1.9206,d5
7,d5_upper,1.8779502,1.9353,d5
7,d5_upper,1.8779502,1.95,d5
7,d5_upper,1.8779502,1.9647,d5
7,d5_upper,1.8779502,1.9794,d5
7,d5_upper,1.8779502,1.9941,d5
7,d5_upper,1.8926504,1.9941,d5
8,d6_lower,1.3070499,-1.45025,d6
8,d6_lower,1.32175,-1.45025,d6
8,d6_lower,1.32175,-1.46495,d6
8,d6_lower,1.3217499,-1.47965,d6
8,d6_lower,1.3070501,-1.49435,d6
8,d6_lower,1.3217499,-1.4943501,d6
8,d6_lower,1.30705,-1.47965,d6
8,d6_lower,1.29235,-1.46495,d6
